Brand,HP,RPM,Frame,Voltage,Full Load Amps,Service Factor,Rated Efficiency,Nom. Efficiency,Efficiency Group,Shaft Dia (mm),Shaft Length (mm),Overall Length (mm),Model No.,Item No.
Leeson,  1/4 ,1700,63C,230/460V,1.0/.50A,1.15,YES,68,IE1,11,23,217,063117FH5402,26VX23
Leeson,  1/2 ,1695,71,230/460V,1.8/.9A,1.15,YES,74,IE2,14,30,240,071T17FH5408,26VX28
Leeson,  1/2 ,1695,71,230/460V,1.8/.9A,1.15,YES,74,IE3,14,30,240,071T17FH5508,26VX64
Leeson,1      ,1740,80C,230/460V,3.0/1.5A,1.15,N/A,85.5,IE3,19,40,302,080T17FH15414,53UF66
Leeson,1      ,1740,80D,230/460V,3.0/1.5A,1.15,N/A,85.5,IE4,19,40,302,080T17FH15514,53UF68
Weg,1  1/2 ,1755,90S,460V,2.05A,1.25,N/A,85.5,IE5,24,50,329,13984005,482V66
Weg,2      ,3485,90S,460V,2.69A,1.25,N/A,85.5,IE6,24,50,329,13984008,482V70
Weg,2      ,1755,90L,460V,2.83A,1.25,N/A,86.5,IE7,24,50,329,13984012,482V72
Leeson,2      ,1745,90L,230/460V,5.4/2.7A,1.15,YES,86.5,IE8,24,50,326,090LT17FH6419,26VX38
Leeson,2      ,1745,90L,230/460V,5.4/2.7A,1.15,YES,87.5,IE9,24,50,326,090LT17FH6519,26VX74
Leeson,3      ,3500,90L,230/460V,7.2/3.6A,1.15,YES,87.5,IE10,24,50,326,090LT34FH6420,26VX39
Leeson,3      ,3500,90L,230/460V,7.2/3.6A,1.15,YES,87.5,IE11,24,50,326,090LT34FH6520,26VX75
Weg,3      ,3480,90L,460V,3.85A,1.25,N/A,86.5,IE12,24,50,329,13984021,482V77
Weg,7  1/2 ,3545,132S,460V,8.97A,1.25,N/A,89.5,IE13,38,80,490,13984840,482V88
